paragraph_no,compound_name,iupac_name,inchi,smiles,has_structure_fig,other_info
[0116],compound according to Formula (II),,,,False,Referenced by Formula (II)
[0116],compound according to Formula (IIa),,,,False,Referenced by Formula (IIa)
[0116],compound according to Formula (IIb),,,,False,Referenced by Formula (IIb)
[0116],compound according to Formula (IIc),,,,False,Referenced by Formula (IIc)
[0116],compound according to Formula (IId),,,,False,Referenced by Formula (IId)
[0116],compound according to Formula (IIe),,,,False,Referenced by Formula (IIe)
[0118],compound of Formula (I),,,,False,Referenced by Formula (I)
[0118],compound of Formula (IA),,,,False,Referenced by Formula (IA)
[0118],compound of Formula (II),,,,False,Referenced by Formula (II)
[0118],compound of Formula (IIa),,,,False,Referenced by Formula (IIa)
[0118],compound of Formula (IIb),,,,False,Referenced by Formula (IIb)
[0118],compound of Formula (IIc),,,,False,Referenced by Formula (IIc)
[0118],compound of Formula (IId),,,,False,Referenced by Formula (IId)
[0118],compound of Formula (IIe),,,,False,Referenced by Formula (IIe)
[0119],compound of Formula (I),,,,False,Referenced by Formula (I)
[0119],compound of Formula (IA),,,,False,Referenced by Formula (IA)
[0119],compound of Formula (II),,,,False,Referenced by Formula (II)
[0119],compound of Formula (IIa),,,,False,Referenced by Formula (IIa)
[0119],compound of Formula (IIb),,,,False,Referenced by Formula (IIb)
[0119],compound of Formula (IIc),,,,False,Referenced by Formula (IIc)
[0119],compound of Formula (IId),,,,False,Referenced by Formula (IId)
[0119],compound of Formula (IIe),,,,False,Referenced by Formula (IIe)
[0120],compound of Formula (I),,,,False,Referenced by Formula (I)
[0120],compound of Formula (IA),,,,False,Referenced by Formula (IA)
[0120],compound of Formula (II),,,,False,Referenced by Formula (II)
[0120],compound of Formula (IIa),,,,False,Referenced by Formula (IIa)
[0120],compound of Formula (IIb),,,,False,Referenced by Formula (IIb)
[0120],compound of Formula (IIc),,,,False,Referenced by Formula (IIc)
[0120],compound of Formula (IId),,,,False,Referenced by Formula (IId)
[0120],compound of Formula (IIe),,,,False,Referenced by Formula (IIe)
[0125],MC3,,,,True,Included in a nanoparticle composition.
[0127],Compound 26,,,,True,MC3 is a reference compound in this context.
[0127],Compound 18,,,,True,MC3 is a reference compound in this context.
[0127],Compound 25,,,,True,MC3 is a reference compound in this context.
[0127],MC3,,,,True,
[0128],Compound 18,,,,True,MC3 is a reference compound in this context.
[0128],Compound 25,,,,True,MC3 is a reference compound in this context.
[0128],Compound 26,,,,True,MC3 is a reference compound in this context.
[0128],MC3,,,,True,
[0129],MC3,,,,True,"Numbers 1-7 in figure correspond to MC3, Compounds 168-170, and 173-175."
[0129],Compound 168,,,,True,"Numbers 1-7 in figure correspond to MC3, Compounds 168-170, and 173-175."
[0129],Compound 169,,,,True,"Numbers 1-7 in figure correspond to MC3, Compounds 168-170, and 173-175."
[0129],Compound 170,,,,True,"Numbers 1-7 in figure correspond to MC3, Compounds 168-170, and 173-175."
[0129],Compound 173,,,,True,"Numbers 1-7 in figure correspond to MC3, Compounds 168-170, and 173-175."
[0129],Compound 174,,,,True,"Numbers 1-7 in figure correspond to MC3, Compounds 168-170, and 173-175."
[0129],Compound 175,,,,True,"Numbers 1-7 in figure correspond to MC3, Compounds 168-170, and 173-175."
[0130],MC3,,,,True,"Numbers 1-11 in figure correspond to MC3, Compounds 18, 25, 30, 108-112, 60, and 122."
[0130],Compound 18,,,,True,"Numbers 1-11 in figure correspond to MC3, Compounds 18, 25, 30, 108-112, 60, and 122."
[0130],Compound 25,,,,True,"Numbers 1-11 in figure correspond to MC3, Compounds 18, 25, 30, 108-112, 60, and 122."
[0130],Compound 30,,,,True,"Numbers 1-11 in figure correspond to MC3, Compounds 18, 25, 30, 108-112, 60, and 122."
[0130],Compound 108,,,,True,"Numbers 1-11 in figure correspond to MC3, Compounds 18, 25, 30, 108-112, 60, and 122."
[0130],Compound 109,,,,True,"Numbers 1-11 in figure correspond to MC3, Compounds 18, 25, 30, 108-112, 60, and 122."
[0130],Compound 110,,,,True,"Numbers 1-11 in figure correspond to MC3, Compounds 18, 25, 30, 108-112, 60, and 122."
[0130],Compound 111,,,,True,"Numbers 1-11 in figure correspond to MC3, Compounds 18, 25, 30, 108-112, 60, and 122."
[0130],Compound 112,,,,True,"Numbers 1-11 in figure correspond to MC3, Compounds 18, 25, 30, 108-112, 60, and 122."
[0130],Compound 60,,,,True,"Numbers 1-11 in figure correspond to MC3, Compounds 18, 25, 30, 108-112, 60, and 122."
[0130],Compound 122,,,,True,"Numbers 1-11 in figure correspond to MC3, Compounds 18, 25, 30, 108-112, 60, and 122."
[0131],MC3,,,,True,Mentioned in FIG. 10.
[0131],Compound 18,,,,True,Corresponds to number 1 in FIG. 10.
[0131],Compounds 48-50,,,,True,Corresponds to numbers in FIG. 10.
[0131],Compound 54,,,,True,Corresponds to a number in FIG. 10.
[0131],Compound 111,,,,True,Corresponds to a number in FIG. 10.
[0131],Compound 60,,,,True,Corresponds to a number in FIG. 10.
[0131],Compound 75,,,,True,Corresponds to a number in FIG. 10.
[0131],Compound 68,,,,True,Corresponds to a number in FIG. 10.
[0131],Compound 66,,,,True,Corresponds to a number in FIG. 10.
[0131],Compound 128,,,,True,Corresponds to a number in FIG. 10.
[0131],Compound 65,,,,True,Corresponds to a number in FIG. 10.
[0131],Compound 130,,,,True,Corresponds to a number in FIG. 10.
[0131],Compounds 133-135,,,,True,Corresponds to numbers in FIG. 10.
[0131],Compound 147,,,,True,Corresponds to a number in FIG. 10.
[0131],Compound 96,,,,True,Corresponds to a number in FIG. 10.
[0131],Compound 151,,,,True,Corresponds to a number in FIG. 10.
[0132],MC3,,,,True,Mentioned in FIGS. 11A and 11B.
[0132],Compound 18,,,,True,Mentioned in FIGS. 11A and 11B.
[0134],MC3,,,,False,Reference lipid.
[0134],KC2,,,,False,Reference lipid.
[0134],DLinDMA,,,,False,Reference lipid.
[0135],Formula (I),,,,True,Structure shown in Figure US20170210697A1-20170727-C00006.
[0153],Formula (IA),,,,True,subset of compounds of Formula (I)
[0154],Formula (II),,,,True,subset of compounds of Formula (I)
[0155],Formula (I),,,,False,
[0155],Formula (IA),,,,False,
[0163],methyl,,,,False,unsubstituted methyl
[0182],Formula (IIa),,,,True,salts or isomers thereof
[0183],Formula (IIb),,,,True,salts or isomers thereof
[0184],Formula (IIc),,,,True,salts or isomers thereof
[0184],Formula (IIe),,,,True,salts or isomers thereof
[0185],Formula (IId),,,,True,"salts or isomers thereof, wherein n is 2, 3, or 4; and m, R′, R″, and R2 through R6 are as described herein. For example, each of R2 and R3 may be independently selected from the group consisting of C5-14 alkyl and C5-14 alkenyl."
[0201],linoleyl,,,,False,R1 is linoleyl.
[0202],decan-2-yl,,,,True,R1 is decan-2-yl.
[0202],undecan-3-yl,,,,True,R1 is undecan-3-yl.
[0202],dodecan-4-yl,,,,True,R1 is dodecan-4-yl.
[0202],tridecan-5-yl,,,,True,R1 is tridecan-5-yl.
[0202],tetradecan-6-yl,,,,True,R1 is tetradecan-6-yl.
[0202],2-methylundecan-3-yl,,,,True,R1 is 2-methylundecan-3-yl.
[0202],2-methyldecan-2-yl,,,,True,R1 is 2-methyldecan-2-yl.
[0202],3-methylundecan-3-yl,,,,True,R1 is 3-methylundecan-3-yl.
[0202],4-methyldodecan-4-yl,,,,True,R1 is 4-methyldodecan-4-yl.
[0202],heptadeca-9-yl,,,,True,R1 is heptadeca-9-yl.
[0203],1-cyclopropylnonyl,,,,True,R1 is unsubstituted C5-20 alkyl or C5-20 alkenyl. R′ is substituted C5-20 alkyl or C5-20 alkenyl substituted with a C3-6 carbocycle such as 1-cyclopropylnonyl or substituted with OH or alkoxy.
[0205],cyclopropyl group,,,,False,Y is a cyclopropyl group.
[0205],cyclohexyl group,,,,False,Y is a cyclohexyl group.
[0208],decan-2-yl,,,,True,R' is branched
[0208],undecan-3-yl,,,,True,R' is branched
[0208],dodecan-4-yl,,,,True,R' is branched
[0208],tridecan-5-yl,,,,True,R' is branched
[0208],tetradecan-6-yl,,,,True,R' is branched
[0208],2-methylundecan-3-yl,,,,True,R' is branched
[0208],2-methyldecan-2-yl,,,,True,R' is branched
[0208],3-methylundecan-3-yl,,,,True,R' is branched
[0208],4-methyldodecan-4-yl,,,,True,R' is branched
[0208],heptadeca-9-yl,,,,True,R' is branched
[0209],methoxy,,,,True,R' is substituted with alkoxy
[0209],1-cyclopropylnonyl,,,,True,R' is substituted with C3-6 carbocycle
[0209],C(O)O-alkyl,,,,True,R' is substituted with C(O)O-alkyl
[0209],OC(O)-alkyl,,,,True,R' is substituted with OC(O)-alkyl
[0209],C(O)OCH3,,,,True,R' is substituted with an alkoxy such as methoxy or C(O)OCH3
[0209],OC(O)CH3,,,,True,R' is substituted with an alkoxy such as methoxy or OC(O)CH3
[0228],thiourea,,,,True,isostere of thiourea
[0230],,,,,False,"e.g., —CH(═N—OCH3), —C(O)NH—OH, —C(O)NH—OCH3, —C(O)N(CH3)—OH, or —C(O)N(CH3)—OCH3"
[0232],guanin-9-yl,,,,False,"heteroaryl, 5- to 10-membered, optionally substituted"
[0232],adenin-9-yl,,,,False,"heteroaryl, 5- to 10-membered, optionally substituted"
[0232],cytosin-1-yl,,,,False,"heteroaryl, 5- to 10-membered, optionally substituted"
[0232],uracil-1-yl,,,,False,"heteroaryl, 5- to 10-membered, optionally substituted"
[0232],4-methylpiperazinyl,,,,False,"substituted heterocycloalkyl, 5- to 14-membered"
[0232],4-(4-methoxybenzyl)piperazinyl,,,,False,"substituted heterocycloalkyl, 5- to 14-membered"
[0232],"isoindolin-2-yl-1,3-dione",,,,False,"substituted heterocycloalkyl, 5- to 14-membered"
[0232],"pyrrolidin-1-yl-2,5-dione",,,,False,"substituted heterocycloalkyl, 5- to 14-membered"
[0232],"imidazolidin-3-yl-2,4-dione",,,,False,"substituted heterocycloalkyl, 5- to 14-membered"
[0233],"3-(dimethylamino)-cyclobut-3-ene-4-yl-1,2-dione",,,,False,"C3-6 cycloalkyl, substituted with oxo, amino, mono- or di-alkylamino, C1-3 alkyl and halo"
[0234],thiazole,,,,False,"heteroaryl, optionally substituted with amino, mono- or di-alkylamino, C1-3 alkyl and halo"
[0234],imidazole,,,,False,"heteroaryl, optionally substituted with amino, mono- or di-alkylamino, C1-3 alkyl and halo"
[0239],benzyl,,,,False,R4 substituent
[0239],4-methoxybenzyl,,,,False,R4 substituent
[0240],cyclohexyl,,,,False,"R4 substituent, optionally substituted"
[0240],2-hydroxycyclohexyl,,,,False,R4 substituent
[0242],—CH2CH(OH)CH3,,,,False,Example R4 group
[0242],—CH(CH3)CH2OH,,,,False,Example R4 group
[0242],—CH2CH(OH)CH2CH3,,,,False,Example R4 group
[0243],CH2OH,,,,False,Example substituted C1-3 alkyl group for R
[0243],—CH2CH(OH)CH2OH,,,,False,Example R4 group
[0243],—(CH2)3NHC(O)CH2OH,,,,False,Example R4 group
[0243],—(CH2)3NHC(O)CH2OBn,,,,False,Example R4 group
[0243],—CH(CH2OH)2,,,,False,Example R4 group
[0246],cyclohexyl,,,,False,C6 carbocycle
[0246],phenyl,,,,False,C6 carbocycle
[0246],cycloheptyl,,,,False,C7-15 carbocycle
[0246],cyclopentadecanyl,,,,False,C7-15 carbocycle
[0246],naphthyl,,,,False,C7-15 carbocycle
[0247],imidazole,,,,False,heterocycle
[0247],pyrimidine,,,,False,heterocycle
[0247],purine,,,,False,heterocycle
[0248],phenyl,,,,False,C3-6 carbocycle
[0249],US20170210697A1-20170727-C00027,,,,True,
[0249],US20170210697A1-20170727-C00028,,,,True,
[0249],US20170210697A1-20170727-C00029,,,,True,
[0249],US20170210697A1-20170727-C00030,,,,True,
[0249],US20170210697A1-20170727-C00031,,,,True,
[0249],US20170210697A1-20170727-C00032,,,,True,
[0249],US20170210697A1-20170727-C00033,,,,True,
[0249],US20170210697A1-20170727-C00034,,,,True,
[0249],US20170210697A1-20170727-C00035,,,,True,
[0249],US20170210697A1-20170727-C00036,,,,True,
[0249],US20170210697A1-20170727-C00037,,,,True,
[0250],US20170210697A1-20170727-C00038,,,,True,
[0251],Compound of Formula (I),,,,True,"selected from the group consisting of Figure US20170210697A1-20170727-C00039 to Figure US20170210697A1-20170727-C00073, and salts and isomers thereof."
[0256],cyclopropyl,,,,False,carbocycle example
[0256],cyclopentyl,,,,False,carbocycle example
[0256],cyclohexyl,,,,False,carbocycle example
[0256],phenyl,,,,False,carbocycle example
[0256],naphthyl,,,,False,carbocycle example
[0256],"1,2-dihydronaphthyl",,,,False,carbocycle example
[0257],imidazolyl,,,,False,heterocycle example
[0257],imidazolidinyl,,,,False,heterocycle example
[0257],oxazolyl,,,,False,heterocycle example
[0257],oxazolidinyl,,,,False,heterocycle example
[0257],thiazolyl,,,,False,heterocycle example
[0257],thiazolidinyl,,,,False,heterocycle example
[0257],pyrazolidinyl,,,,False,heterocycle example
[0257],pyrazolyl,,,,False,heterocycle example
[0257],isoxazolidinyl,,,,False,heterocycle example
[0257],isoxazolyl,,,,False,heterocycle example
[0257],isothiazolidinyl,,,,False,heterocycle example
[0257],isothiazolyl,,,,False,heterocycle example
[0257],morpholinyl,,,,False,heterocycle example
[0257],pyrrolyl,,,,False,heterocycle example
[0257],pyrrolidinyl,,,,False,heterocycle example
[0257],furyl,,,,False,heterocycle example
[0257],tetrahydrofuryl,,,,False,heterocycle example
[0257],thiophenyl,,,,False,heterocycle example
[0257],pyridinyl,,,,False,heterocycle example
[0257],piperidinyl,,,,False,heterocycle example
[0257],quinolyl,,,,False,heterocycle example
[0257],isoquinolyl,,,,False,heterocycle example
[0258],phenyl,,,,False,aryl group example
[0258],naphthyl,,,,False,aryl group example
[0258],pyrrolyl,,,,False,heteroaryl group example
[0258],furyl,,,,False,heteroaryl group example
[0258],thiophenyl,,,,False,heteroaryl group example
[0258],imidazolyl,,,,False,heteroaryl group example
[0258],oxazolyl,,,,False,heteroaryl group example
[0258],thiazolyl,,,,False,heteroaryl group example
[0258],phenyl,,,,False,optional substituent example
[0258],oxazole,,,,False,optional substituent example
[0258],thiazole,,,,False,optional substituent example
[0264],MC3,,,,False,control nanoparticle
[0264],KC2,,,,False,control nanoparticle
[0264],DLinDMA,,,,False,control nanoparticle
[0264],Compound 18,,,,False,a compound of Formula (IA) or (II)
[0264],Compound 25,,,,False,a compound of Formula (IA) or (II)
[0264],Compound 30,,,,False,a compound of Formula (IA) or (II)
[0264],Compound 60,,,,False,a compound of Formula (IA) or (II)
[0264],Compound 108,,,,False,a compound of Formula (IA) or (II)
[0264],Compound 109,,,,False,a compound of Formula (IA) or (II)
[0264],Compound 110,,,,False,a compound of Formula (IA) or (II)
[0264],Compound 111,,,,False,a compound of Formula (IA) or (II)
[0264],Compound 112,,,,False,a compound of Formula (IA) or (II)
[0264],Compound 122,,,,False,a compound of Formula (IA) or (II)
[0273],phosphates,,,,False,group
[0273],boranophosphates,,,,False,group
[0273],thiophosphates,,,,False,group
[0273],selenophosphates,,,,False,group
[0273],phosphonates,,,,False,group
[0273],triphosphate,,,,False,group
[0273],phosphate moieties,,,,False,group
[0273],boranophosphate moiety,,,,False,group
[0282],butylated hydroxytoluene,,,,False,BHT
[0282],calcium carbonate,,,,False,
[0282],calcium phosphate (dibasic),,,,False,
[0282],calcium stearate,,,,False,
[0282],croscarmellose,,,,False,
[0282],crosslinked polyvinyl pyrrolidone,,,,False,
[0282],citric acid,,,,False,
[0282],crospovidone,,,,False,
[0282],cysteine,,,,False,
[0282],ethylcellulose,,,,False,
[0282],gelatin,,,,False,
[0282],hydroxypropyl cellulose,,,,False,
[0282],hydroxypropyl methylcellulose,,,,False,
[0282],lactose,,,,False,
[0282],magnesium stearate,,,,False,
[0282],maltitol,,,,False,
[0282],mannitol,,,,False,
[0282],methionine,,,,False,
[0282],methylcellulose,,,,False,
[0282],methyl paraben,,,,False,
[0282],microcrystalline cellulose,,,,False,
[0282],polyethylene glycol,,,,False,
[0282],polyvinyl pyrrolidone,,,,False,
[0282],povidone,,,,False,
[0282],pregelatinized starch,,,,False,
[0282],propyl paraben,,,,False,
[0282],retinyl palmitate,,,,False,
[0282],shellac,,,,False,
[0282],silicon dioxide,,,,False,
[0282],sodium carboxymethyl cellulose,,,,False,
[0282],sodium citrate,,,,False,
[0282],sodium starch glycolate,,,,False,
[0282],sorbitol,,,,False,
[0282],starch (corn),,,,False,
[0282],stearic acid,,,,False,
[0282],sucrose,,,,False,
[0282],talc,,,,False,
[0282],titanium dioxide,,,,False,
[0282],vitamin A,,,,False,
[0282],vitamin E (alpha-tocopherol),,,,False,
[0282],vitamin C,,,,False,
[0282],xylitol,,,,False,
[0285],acetate,,,,False,acid salt
[0285],adipate,,,,False,acid salt
[0285],alginate,,,,False,acid salt
[0285],ascorbate,,,,False,acid salt
[0285],aspartate,,,,False,acid salt
[0285],benzenesulfonate,,,,False,acid salt
[0285],benzoate,,,,False,acid salt
[0285],bisulfate,,,,False,acid salt
[0285],borate,,,,False,acid salt
[0285],butyrate,,,,False,acid salt
[0285],camphorate,,,,False,acid salt
[0285],camphorsulfonate,,,,False,acid salt
[0285],citrate,,,,False,acid salt
[0285],cyclopentanepropionate,,,,False,acid salt
[0285],digluconate,,,,False,acid salt
[0285],dodecylsulfate,,,,False,acid salt
[0285],ethanesulfonate,,,,False,acid salt
[0285],fumarate,,,,False,acid salt
[0285],glucoheptonate,,,,False,acid salt
[0285],glycerophosphate,,,,False,acid salt
[0285],hemisulfate,,,,False,acid salt
[0285],heptonate,,,,False,acid salt
[0285],hexanoate,,,,False,acid salt
[0285],hydrobromide,,,,False,acid salt
[0285],hydrochloride,,,,False,acid salt
[0285],hydroiodide,,,,False,acid salt
[0285],2-hydroxy-ethanesulfonate,,,,False,acid salt
[0285],lactobionate,,,,False,acid salt
[0285],lactate,,,,False,acid salt
[0285],laurate,,,,False,acid salt
[0285],lauryl sulfate,,,,False,acid salt
[0285],malate,,,,False,acid salt
[0285],maleate,,,,False,acid salt
[0285],malonate,,,,False,acid salt
[0285],methanesulfonate,,,,False,acid salt
[0285],2-naphthalenesulfonate,,,,False,acid salt
[0285],nicotinate,,,,False,acid salt
[0285],nitrate,,,,False,acid salt
[0285],oleate,,,,False,acid salt
[0285],oxalate,,,,False,acid salt
[0285],palmitate,,,,False,acid salt
[0285],pamoate,,,,False,acid salt
[0285],pectinate,,,,False,acid salt
[0285],persulfate,,,,False,acid salt
[0285],3-phenylpropionate,,,,False,acid salt
[0285],phosphate,,,,False,acid salt
[0285],picrate,,,,False,acid salt
[0285],pivalate,,,,False,acid salt
[0285],propionate,,,,False,acid salt
[0285],stearate,,,,False,acid salt
[0285],succinate,,,,False,acid salt
[0285],sulfate,,,,False,acid salt
[0285],tartrate,,,,False,acid salt
[0285],thiocyanate,,,,False,acid salt
[0285],toluenesulfonate,,,,False,acid salt
[0285],undecanoate,,,,False,acid salt
[0285],valerate,,,,False,acid salt
[0285],sodium,,,,False,alkali metal salt
[0285],lithium,,,,False,alkali metal salt
[0285],potassium,,,,False,alkali metal salt
[0285],calcium,,,,False,alkaline earth metal salt
[0285],magnesium,,,,False,alkaline earth metal salt
[0285],ammonium,,,,False,amine cation
[0285],tetramethylammonium,,,,False,quaternary ammonium cation
[0285],tetraethylammonium,,,,False,quaternary ammonium cation
[0285],methylamine,,,,False,amine cation
[0285],dimethylamine,,,,False,amine cation
[0285],trimethylamine,,,,False,amine cation
[0285],triethylamine,,,,False,amine cation
[0285],ethylamine,,,,False,amine cation
[0289],RNA,,,,False,"a ribonucleic acid that may be naturally or non-naturally occurring. For example, an RNA may include modified and/or non-naturally occurring components such as one or more nucleobases, nucleosides, nucleotides, or linkers. An RNA may include a cap structure, a chain terminating nucleoside, a stem loop, a polyA sequence, and/or a polyadenylation signal. An RNA may have a nucleotide sequence encoding a polypeptide of interest."
[0289],messenger RNA (mRNA),,,,False,a type of RNA that may have a nucleotide sequence encoding a particular polypeptide.
[0289],small interfering RNA (siRNA),,,,False,a type of RNA.
[0289],asymmetrical interfering RNA (aiRNA),,,,False,a type of RNA.
[0289],microRNA (miRNA),,,,False,a type of RNA.
[0289],Dicer-substrate RNA (dsRNA),,,,False,a type of RNA.
[0289],small hairpin RNA (shRNA),,,,False,a type of RNA.
[0305],KL10,"3-(didodecylamino)-N1,N1,4-tridodecyl-1-piperazineethanamine",,,False,cationic/ionizable lipid
[0305],KL22,"N1-[2-(didodecylamino)ethyl]-N1,N4,N4-tridodecyl-1,4-piperazinediethanamine",,,False,cationic/ionizable lipid
[0305],KL25,"14,25-ditridecyl-15,18,21,24-tetraaza-octatriacontane",,,False,cationic/ionizable lipid
[0305],DLin-DMA,"1,2-dilinoleyloxy-N,N-dimethylaminopropane",,,False,cationic/ionizable lipid
[0305],DLin-K-DMA,"2,2-dilinoleyl-4-dimethylaminomethyl-[1,3]-dioxolane",,,False,cationic/ionizable lipid
[0305],DLin-MC3-DMA,"heptatriaconta-6,9,28,31-tetraen-19-yl 4-(dimethylamino)butanoate",,,False,cationic/ionizable lipid
[0305],DLin-KC2-DMA,"2,2-dilinoleyl-4-(2-dimethylaminoethyl)-[1,3]-dioxolane",,,False,cationic/ionizable lipid
[0305],DODMA,"1,2-dioleyloxy-N,N-dimethylaminopropane",,,False,cationic/ionizable lipid
[0305],Octyl-CLinDMA,"2-({8-[(3β)-cholest-5-en-3-yloxy]octyl}oxy)-N,N-dimethyl-3-[(9Z,12Z)-octadeca-9,12-dien-1-yloxy]propan-1-amine",,,False,cationic/ionizable lipid
[0305],Octyl-CLinDMA (2R),"(2R)-2-({8-[(3β)-cholest-5-en-3-yloxy]octyl}oxy)-N,N-dimethyl-3-[(9Z,12Z)-octadeca-9,12-dien-1-yloxy]propan-1-amine",,,False,cationic/ionizable lipid
[0305],Octyl-CLinDMA (2S),"(2S)-2-({8-[(3β)-cholest-5-en-3-yloxy]octyl}oxy)-N,N-dimethyl-3-[(9Z,12Z)-octadeca-9,12-dien-1-yloxy]propan-1-amine",,,False,cationic/ionizable lipid
[0306],PEG-c-DOMG,,,,False,PEG lipid
[0306],PEG-DMG,,,,False,PEG lipid
[0306],PEG-DLPE,,,,False,PEG lipid
[0306],PEG-DMPE,,,,False,PEG lipid
[0306],PEG-DPPC,,,,False,PEG lipid
[0306],PEG-DSPE,,,,False,PEG lipid
[0307],cholesterol,,,,False,Structural lipid
[0307],fecosterol,,,,False,Structural lipid
[0307],sitosterol,,,,False,Structural lipid
[0307],ergosterol,,,,False,Structural lipid
[0307],campesterol,,,,False,Structural lipid
[0307],stigmasterol,,,,False,Structural lipid
[0307],brassicasterol,,,,False,Structural lipid
[0307],tomatidine,,,,False,Structural lipid
[0307],tomatine,,,,False,Structural lipid
[0307],ursolic acid,,,,False,Structural lipid
[0307],alpha-tocopherol,,,,False,Structural lipid
[0307],prednisolone,,,,False,Corticosteroid
[0307],dexamethasone,,,,False,Corticosteroid
[0307],prednisone,,,,False,Corticosteroid
[0307],hydrocortisone,,,,False,Corticosteroid
[0308],phosphatidyl choline,,,,True,Phospholipid moiety
[0308],phosphatidyl ethanolamine,,,,True,Phospholipid moiety
[0308],phosphatidyl glycerol,,,,True,Phospholipid moiety
[0308],phosphatidyl serine,,,,True,Phospholipid moiety
[0308],phosphatidic acid,,,,True,Phospholipid moiety
[0308],2-lysophosphatidyl choline,,,,True,Phospholipid moiety
[0308],sphingomyelin,,,,True,Phospholipid moiety
[0308],lauric acid,,,,True,Fatty acid moiety
[0308],myristic acid,,,,True,Fatty acid moiety
[0308],myristoleic acid,,,,True,Fatty acid moiety
[0308],palmitic acid,,,,True,Fatty acid moiety
[0308],palmitoleic acid,,,,True,Fatty acid moiety
[0308],stearic acid,,,,True,Fatty acid moiety
